study_name,instrument_name,question_name,concept_name
soep-is,soep-is-2011,Q1,lela
soep-is,soep-is-2011,A000C,name
soep-is,soep-is-2011,A000C,lsex
soep-is,soep-is-2011,A000C,lgeb
soep-is,soep-is-2011,A000C,lgebmo
soep-is,soep-is-2011,Q8,hvj
soep-is,soep-is-2011,Q9,hwj
soep-is,soep-is-2011,Q9,hwm
soep-is,soep-is-2011,Q10,hhtyp
soep-is,soep-is-2011,Q11,hheim
soep-is,soep-is-2011,Q12,hwohn09
soep-is,soep-is-2011,Q13.1,hwohn09a
soep-is,soep-is-2011,Q13.2,hwohn09a
soep-is,soep-is-2011,Q13.3,hwohn09a
soep-is,soep-is-2011,Q13.4,hwohn09a
soep-is,soep-is-2011,Q14,hqm
soep-is,soep-is-2011,Q15,hwohn08
soep-is,soep-is-2011,Q16,hzus
soep-is,soep-is-2011,Q17,hh01
soep-is,soep-is-2011,Q17,hh02
soep-is,soep-is-2011,Q17,hh11
soep-is,soep-is-2011,Q17,hh03
soep-is,soep-is-2011,Q17,hh05
soep-is,soep-is-2011,Q17,hh06
soep-is,soep-is-2011,Q17,hh07
soep-is,soep-is-2011,Q17,hh08
soep-is,soep-is-2011,Q17,hh09
soep-is,soep-is-2011,Q17,hh10
soep-is,soep-is-2011,Q17,hh04
soep-is,soep-is-2011,Q17a,hh01a
soep-is,soep-is-2011,Q17b,hh02a
soep-is,soep-is-2011,Q17c,hh11a
soep-is,soep-is-2011,Q17d,hh03a
soep-is,soep-is-2011,Q17e,hh05a
soep-is,soep-is-2011,Q17f,hh06a
soep-is,soep-is-2011,Q17g,hh07a
soep-is,soep-is-2011,Q17h,hh08a
soep-is,soep-is-2011,Q17i,hh09a
soep-is,soep-is-2011,Q17j,hh10a
soep-is,soep-is-2011,Q17k,hh04a
soep-is,soep-is-2011,Q18,hm01
soep-is,soep-is-2011,Q19,hm04
soep-is,soep-is-2011,Q19,hm05
soep-is,soep-is-2011,Q20,hm06
soep-is,soep-is-2011,Q21,hm09
soep-is,soep-is-2011,Q22,hm10
soep-is,soep-is-2011,Q22,hm11
soep-is,soep-is-2011,Q23,hzahl
soep-is,soep-is-2011,Q24,he01
soep-is,soep-is-2011,Q25,he02
soep-is,soep-is-2011,Q25b,hzahl1
soep-is,soep-is-2011,Q26,he03
soep-is,soep-is-2011,Q27,he05
soep-is,soep-is-2011,Q28,he06
soep-is,soep-is-2011,Q29,he07
soep-is,soep-is-2011,Q30,hverm1
soep-is,soep-is-2011,Q31,hverm2
soep-is,soep-is-2011,Q32A,hverm3
soep-is,soep-is-2011,Q32B,hverm4
soep-is,soep-is-2011,Q33,hkred1
soep-is,soep-is-2011,Q34,hkred2
soep-is,soep-is-2011,Q35,hwa
soep-is,soep-is-2011,Q36,hzins1
soep-is,soep-is-2011,Q37,hzins2
soep-is,soep-is-2011,Q38,hdkg1
soep-is,soep-is-2011,Q38,hdkz1
soep-is,soep-is-2011,Q38,hdag1
soep-is,soep-is-2011,Q38,hdpg1
soep-is,soep-is-2011,Q38,hdsh1
soep-is,soep-is-2011,Q38,hdgs1
soep-is,soep-is-2011,Q38,hdwg1
soep-is,soep-is-2011,Q39,hdkg2
soep-is,soep-is-2011,Q40,hdkg3
soep-is,soep-is-2011,Q41,hdkz2
soep-is,soep-is-2011,Q42,hdag2
soep-is,soep-is-2011,Q43,hdpg2
soep-is,soep-is-2011,Q44,hdsh2
soep-is,soep-is-2011,Q45,hdgs2
soep-is,soep-is-2011,Q46,hdwg2
soep-is,soep-is-2011,Q47,hnetto
soep-is,soep-is-2011,Q47N1,znetto
soep-is,soep-is-2011,Q48,hspar1
soep-is,soep-is-2011,Q48.1,hspar2
soep-is,soep-is-2011,Q49,hpfleg
soep-is,soep-is-2011,Q50,hpstuf
soep-is,soep-is-2011,Q52,pzuf01
soep-is,soep-is-2011,Q52,pzuf20
soep-is,soep-is-2011,Q52,pzuf02
soep-is,soep-is-2011,Q52,pzuf04
soep-is,soep-is-2011,Q52,pzuf05
soep-is,soep-is-2011,Q52,pzuf07
soep-is,soep-is-2011,Q52,pzuf08
soep-is,soep-is-2011,Q52,pzuf13
soep-is,soep-is-2011,Q53,pgef1
soep-is,soep-is-2011,Q53,pgef2
soep-is,soep-is-2011,Q53,pgef3
soep-is,soep-is-2011,Q53,pgef4
soep-is,soep-is-2011,Q54,prisk
soep-is,soep-is-2011,Q55,ieigiat04
soep-is,soep-is-2011,Q55,ieigiat01
soep-is,soep-is-2011,Q55,ieigiat03
soep-is,soep-is-2011,Q55,ieigiat02
soep-is,soep-is-2011,Q56M,ityp101
soep-is,soep-is-2011,Q56M,ityp102
soep-is,soep-is-2011,Q56M,ityp103
soep-is,soep-is-2011,Q56M,ityp104
soep-is,soep-is-2011,Q56M,ityp105
soep-is,soep-is-2011,Q56M,ityp106
soep-is,soep-is-2011,Q56M,ityp107
soep-is,soep-is-2011,Q56M,ityp108
soep-is,soep-is-2011,Q56M,ityp109
soep-is,soep-is-2011,Q56M,ityp110
soep-is,soep-is-2011,Q56M,ityp111
soep-is,soep-is-2011,Q56M,ityp112
soep-is,soep-is-2011,Q56M,ityp113
soep-is,soep-is-2011,Q56M,ityp114
soep-is,soep-is-2011,Q56M,ityp115
soep-is,soep-is-2011,Q57F,ityp201
soep-is,soep-is-2011,Q57F,ityp202
soep-is,soep-is-2011,Q57F,ityp203
soep-is,soep-is-2011,Q57F,ityp204
soep-is,soep-is-2011,Q57F,ityp205
soep-is,soep-is-2011,Q57F,ityp206
soep-is,soep-is-2011,Q57F,ityp207
soep-is,soep-is-2011,Q57F,ityp208
soep-is,soep-is-2011,Q57F,ityp209
soep-is,soep-is-2011,Q57F,ityp210
soep-is,soep-is-2011,Q57F,ityp211
soep-is,soep-is-2011,Q57F,ityp212
soep-is,soep-is-2011,Q57F,ityp213
soep-is,soep-is-2011,Q57F,ityp214
soep-is,soep-is-2011,Q57F,ityp215
soep-is,soep-is-2011,Q58,ppol1
soep-is,soep-is-2011,Q59,ppol2
soep-is,soep-is-2011,Q60,ppol3
soep-is,soep-is-2011,Q60,ppolso
soep-is,soep-is-2011,Q60b,porg1
soep-is,soep-is-2011,Q60b,porg2
soep-is,soep-is-2011,Q60b,porg3
soep-is,soep-is-2011,Q60b,porg4
soep-is,soep-is-2011,Q60b,porg5
soep-is,soep-is-2011,Q61,pfz1
soep-is,soep-is-2011,Q61,pfz2
soep-is,soep-is-2011,Q61,pfz3
soep-is,soep-is-2011,Q61,pfz4
soep-is,soep-is-2011,Q61,pfz5
soep-is,soep-is-2011,Q61,pfz6
soep-is,soep-is-2011,Q61,pfz7
soep-is,soep-is-2011,Q61,pfz8
soep-is,soep-is-2011,Q61,pfz9
soep-is,soep-is-2011,Q62,psta1
soep-is,soep-is-2011,Q63,ppnat
soep-is,soep-is-2011,Q64,pfamst
soep-is,soep-is-2011,Q65,pp1
soep-is,soep-is-2011,Q66,pp2
soep-is,soep-is-2011,Q67,lsta1
soep-is,soep-is-2011,Q68,lsta2
soep-is,soep-is-2011,Q69,lzug01
soep-is,soep-is-2011,Q70,lsta1a
soep-is,soep-is-2011,Q71,lpnat
soep-is,soep-is-2011,Q72,lsta3
soep-is,soep-is-2011,Q74,pp1a
soep-is,soep-is-2011,Q75,ppnam
soep-is,soep-is-2011,Q76,ppja
soep-is,soep-is-2011,Q77,pp2a
soep-is,soep-is-2011,Q78,ppleb1a
soep-is,soep-is-2011,Q79,ppleba
soep-is,soep-is-2011,Q80,pplebja
soep-is,soep-is-2011,Q81,pehe1a
soep-is,soep-is-2011,Q81b,pehe2a
soep-is,soep-is-2011,Q83,pp1b
soep-is,soep-is-2011,Q84,ppjb
soep-is,soep-is-2011,Q85,ppendb
soep-is,soep-is-2011,Q86,ppend2b
soep-is,soep-is-2011,Q87,ppleb1b
soep-is,soep-is-2011,Q88,ppleb2b
soep-is,soep-is-2011,Q89,ppleb3b
soep-is,soep-is-2011,Q89,ppleb4b
soep-is,soep-is-2011,Q90,pehe1b
soep-is,soep-is-2011,Q91,pehe2b
soep-is,soep-is-2011,Q92,pehe3b
soep-is,soep-is-2011,Q93,pehe4b
soep-is,soep-is-2011,Q94,pehe1e
soep-is,soep-is-2011,Q95,pehe4e
soep-is,soep-is-2011,Q96,pehe5e
soep-is,soep-is-2011,Q97,pehe6e
soep-is,soep-is-2011,Q98,pehe7e
soep-is,soep-is-2011,Q99_Q100,lgesch3
soep-is,soep-is-2011,Q99_Q100,lgesch2
soep-is,soep-is-2011,Q99_Q100,lgesch1
soep-is,soep-is-2011,LQ99_Q100R4,lgesch4
soep-is,soep-is-2011,Q102,lkind
soep-is,soep-is-2011,Q102,lkno
soep-is,soep-is-2011,Q105,lknam
soep-is,soep-is-2011,Q106,lksex
soep-is,soep-is-2011,Q107,lkgeb
soep-is,soep-is-2011,Q108,lkwo
