study,name,label,label_de,description,description_de,topic,topic_old
soep-is,weint häufig,,,,,,
soep-is,lsex,,,,,,
soep-is,lgebt,,,,,,
soep-is,lgebmo,,,,,,
soep-is,lgeb,,,,,,
soep-is,hh,,,,,,
soep-is,hwsit,,,,,,
soep-is,hwj,,,,,,
soep-is,hwm,,,,,,
soep-is,hhtyp,,,,,,
soep-is,hheim,,,,,,
soep-is,hwhart,,,,,,
soep-is,hwohn09,,,,,,
soep-is,hbauj,,,,,,
soep-is,hwohn09a,,,,,,
soep-is,humb,,,,,,
soep-is,hqm,,,,,,
soep-is,hm01,,,,,,
soep-is,hm05,,,,,,
soep-is,hm04,,,,,,
soep-is,hheizink,,,,,,
soep-is,hm07,,,,,,
soep-is,hm08,,,,,,
soep-is,hstrink,,,,,,
soep-is,hm14,,,,,,
soep-is,hm15,,,,,,
soep-is,hnebink,,,,,,
soep-is,hm10,,,,,,
soep-is,hm11,,,,,,
soep-is,he01,,,,,,
soep-is,he02,,,,,,
soep-is,he04,,,,,,
soep-is,he16,,,,,,
soep-is,he05,,,,,,
soep-is,hverm1,,,,,,
soep-is,hverm2,,,,,,
soep-is,hverm3a,,,,,,
soep-is,hverm3,,,,,,
soep-is,hverm4a,,,,,,
soep-is,hverm4,,,,,,
soep-is,hkred1,,,,,,
soep-is,hkred2,,,,,,
soep-is,hwa,,,,,,
soep-is,hzins1,,,,,,
soep-is,hzinswn,,,,,,
soep-is,hzins2,,,,,,
soep-is,hdkg1,,,,,,
soep-is,hdkz1,,,,,,
soep-is,hdag1,,,,,,
soep-is,hdpg1,,,,,,
soep-is,hdsh1,,,,,,
soep-is,hdgs1,,,,,,
soep-is,hdwg1,,,,,,
soep-is,hdkg2,,,,,,
soep-is,hdkg3,,,,,,
soep-is,hdkz2,,,,,,
soep-is,hdbp2,,,,,,
soep-is,hdag2,,,,,,
soep-is,hdpg2,,,,,,
soep-is,hdsh2,,,,,,
soep-is,hdgs2,,,,,,
soep-is,hdwg2,,,,,,
soep-is,hnetto,,,,,,
soep-is,hnetto_dummy,,,,,,
soep-is,znetto,,,,,,
soep-is,hspar1a,,,,,,
soep-is,hspar2a,,,,,,
soep-is,hspar1b,,,,,,
soep-is,hspar2b,,,,,,
soep-is,hpfleg,,,,,,
soep-is,hpl,,,,,,
soep-is,hpgrad,,,,,,
soep-is,igene02,,,,,,
soep-is,igene04,,,,,,
soep-is,igene04o,,,,,,
soep-is,igene05,,,,,,
soep-is,igene05o,,,,,,
soep-is,igene06,,,,,,
soep-is,igene06o,,,,,,
soep-is,igene07,,,,,,
soep-is,igene07o,,,,,,
soep-is,isp2019_01,,,,,,
soep-is,isp2019_02,,,,,,
soep-is,ibr01,,,,,,
soep-is,ibr01_1,,,,,,
soep-is,ibr01_1a,,,,,,
soep-is,ibr01_1ao,,,,,,
soep-is,ibr02,,,,,,
soep-is,ibr3o,,,,,,
soep-is,ibr04,,,,,,
soep-is,ibr04o,,,,,,
soep-is,pzuf01,,,,,,
soep-is,pzuf20,,,,,,
soep-is,pzuf02,,,,,,
soep-is,pzuf03,,,,,,
soep-is,pzuf04,,,,,,
soep-is,pzuf05,,,,,,
soep-is,pzuf07,,,,,,
soep-is,pzuf08,,,,,,
soep-is,pzuf09,,,,,,
soep-is,pzuf13,,,,,,
soep-is,pzuf06,,,,,,
soep-is,pgef1,,,,,,
soep-is,pgef2,,,,,,
soep-is,pgef3,,,,,,
soep-is,pgef4,,,,,,
soep-is,pgwert,,,,,,
soep-is,pego01,,,,,,
soep-is,pego02,,,,,,
soep-is,pego03,,,,,,
soep-is,pego04,,,,,,
soep-is,pego05,,,,,,
soep-is,pego06,,,,,,
soep-is,pego07,,,,,,
soep-is,pego08,,,,,,
soep-is,pego09,,,,,,
soep-is,pego10,,,,,,
soep-is,pego11,,,,,,
soep-is,pego12,,,,,,
soep-is,pego13,,,,,,
soep-is,pego14,,,,,,
soep-is,pego15,,,,,,
soep-is,pego16,,,,,,
soep-is,ppol5,,,,,,
soep-is,isfb2019_35_1,,,,,,
soep-is,isfb2019_35_2,,,,,,
