study,dataset,variable,url,url_de
soep-is,pbrutto,cid,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/cid.png
soep-is,pbrutto,hid,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/hid.png
soep-is,pbrutto,pid,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pid.png
soep-is,pbrutto,syear,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/syear.png
soep-is,pbrutto,sample1,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/sample1.png
soep-is,pbrutto,auszugj_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/auszugj_h.png
soep-is,pbrutto,auszugj_v6,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/auszugj_v6.png
soep-is,pbrutto,auszugm,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/auszugm.png
soep-is,pbrutto,einzugj_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/einzugj_h.png
soep-is,pbrutto,einzugj_v4,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/einzugj_v4.png
soep-is,pbrutto,einzugm,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/einzugm.png
soep-is,pbrutto,pnrakt,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnrakt.png
soep-is,pbrutto,pnrold_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnrold_h.png
soep-is,pbrutto,pnrold_v2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnrold_v2.png
soep-is,pbrutto,pzug,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pzug.png
soep-is,pbrutto,pzugv,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pzugv.png
soep-is,pbrutto,stell_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/stell_h.png
soep-is,pbrutto,stell_v1,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/stell_v1.png
soep-is,pbrutto,stell_v2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/stell_v2.png
soep-is,pbrutto,stell_v3,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/stell_v3.png
soep-is,pbrutto,varpnat1,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/varpnat1.png
soep-is,pbrutto,varpnat2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/varpnat2.png
soep-is,pbrutto,varpvor,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/varpvor.png
soep-is,pbrutto,varsex,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/varsex.png
soep-is,pbrutto,geburt_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/geburt_h.png
soep-is,pbrutto,geburt_v2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/geburt_v2.png
soep-is,pbrutto,pgebm,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pgebm.png
soep-is,pbrutto,pnat2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnat2.png
soep-is,pbrutto,pnat_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnat_h.png
soep-is,pbrutto,pnat_v2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnat_v2.png
soep-is,pbrutto,pnat_v3,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/pnat_v3.png
soep-is,pbrutto,sex_v1,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/sex_v1.png
soep-is,pbrutto,sex_v2,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/sex_v2.png
soep-is,pbrutto,ewstatu,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/ewstatu.png
soep-is,pbrutto,befstat_h,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/befstat_h.png
soep-is,pbrutto,befstat_v1,,https://git.soep.de/soep-public/graphics/-/raw/soep-is-2023/IS/pbrutto/befstat_v1.png
