type,study,dataset,variable,instrument,question,url,url_text
study,soep-is,,,,,https://doi.org/10.5684/soep.is.2024,https://doi.org/10.5684/soep.is.2024
dataset,soep-is,biol,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003849.de/diw_ssp1557.pdf,PDF Codebook (en)
dataset,soep-is,bioagel,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.945937.de/diw_ssp1466.pdf,PDF Codebook (en)
dataset,soep-is,biobirth,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003847.de/diw_ssp1556.pdf,PDF Codebook (en)
dataset,soep-is,bioparen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003851.de/diw_ssp1558.pdf,PDF Codebook (en)
dataset,soep-is,calvi,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003853.de/diw_ssp1559.pdf,PDF Codebook (en)
dataset,soep-is,cognit,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003874.de/diw_ssp1561.pdf,PDF Codebook (en)
dataset,soep-is,fgz,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003893.de/diw_ssp1565.pdf,PDF Codebook (en)
dataset,soep-is,hl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004078.de/diw_ssp1569.pdf,PDF Codebook (en)
dataset,soep-is,hbrutto,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004074.de/diw_ssp1567.pdf,PDF Codebook (en)
dataset,soep-is,hgen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004076.de/diw_ssp1568.pdf,PDF Codebook (en)
dataset,soep-is,hpathl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004080.de/diw_ssp1570.pdf,PDF Codebook (en)
dataset,soep-is,hpath,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004072.de/diw_ssp1566.pdf,PDF Codebook (en)
dataset,soep-is,ibip_parent,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004184.de/diw_ssp1579.pdf,PDF Codebook (en)
dataset,soep-is,ibip_pupil,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004186.de/diw_ssp1580.pdf,PDF Codebook (en)
dataset,soep-is,idrm,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004116.de/diw_ssp1571.pdf,PDF Codebook (en)
dataset,soep-is,idrm_esm,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004118.de/diw_ssp1572.pdf,PDF Codebook (en)
dataset,soep-is,iesm,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004120.de/diw_ssp1573.pdf,PDF Codebook (en)
dataset,soep-is,ilanguage,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004122.de/diw_ssp1574.pdf,PDF Codebook (en)
dataset,soep-is,ilottery,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004125.de/diw_ssp1575.pdf,PDF Codebook (en)
dataset,soep-is,inno,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004133.de/diw_ssp1576.pdf,PDF Codebook (en)
dataset,soep-is,inno_h,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004135.de/diw_ssp1577.pdf,PDF Codebook (en)
dataset,soep-is,interviewer,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004137.de/diw_ssp1578.pdf,PDF Codebook (en)
dataset,soep-is,irisk,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004188.de/diw_ssp1581.pdf,PDF Codebook (en)
dataset,soep-is,kidlong,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004482.de/diw_ssp1586.pdf,PDF Codebook (en)
dataset,soep-is,pbrutto,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004482.de/diw_ssp1586.pdf,PDF Codebook (en)
dataset,soep-is,pgen,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004486.de/diw_ssp1587.pdf,PDF Codebook (en)
dataset,soep-is,ppathl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004492.de/diw_ssp1590.pdf,PDF Codebook (en)
dataset,soep-is,ppath,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004490.de/diw_ssp1589.pdf,PDF Codebook (en)
dataset,soep-is,pl,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004488.de/diw_ssp1588.pdf,PDF Codebook (en)
dataset,soep-is,dips3_calls,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003876.de/diw_ssp1562.pdf,PDF Codebook (en)
dataset,soep-is,dips3_hourly,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003891.de/diw_ssp1564.pdf,PDF Codebook (en)
dataset,soep-is,dips3_daily,,,,https://www.diw.de/documents/publikationen/73/diw_01.c.1003878.de/diw_ssp1563.pdf,PDF Codebook (en)
instrument,soep-is,,,soep-is-2024,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004438.de/diw_ssp1582.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2024,,https://www.diw.de/documents/publikationen/73/diw_01.c.1004440.de/diw_ssp1583.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-is-2023,,https://www.diw.de/documents/publikationen/73/diw_01.c.945862.de/diw_ssp1464.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2023,,https://www.diw.de/documents/publikationen/73/diw_01.c.945864.de/diw_ssp1465.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-is-2022,,https://www.diw.de/documents/publikationen/73/diw_01.c.923502.de/diw_ssp1326.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2022,,https://www.diw.de/documents/publikationen/73/diw_01.c.923504.de/diw_ssp1327.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-is-2020,,https://www.diw.de/documents/publikationen/73/diw_01.c.923502.de/diw_ssp1326.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2020,,https://www.diw.de/documents/publikationen/73/diw_01.c.923504.de/diw_ssp1327.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-is-2020-fgz,,https://www.diw.de/documents/publikationen/73/diw_01.c.873355.de/diw_ssp1255.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2020-fgz,,https://www.diw.de/documents/publikationen/73/diw_01.c.873358.de/diw_ssp1256.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-bip-2020-e,,https://www.diw.de/documents/publikationen/73/diw_01.c.873360.de/diw_ssp1257.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-bip-2020-s,,https://www.diw.de/documents/publikationen/73/diw_01.c.873363.de/diw_ssp1258.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2020,,https://www.diw.de/documents/publikationen/73/diw_01.c.873351.de/diw_ssp1253.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2020,,https://www.diw.de/documents/publikationen/73/diw_01.c.873353.de/diw_ssp1254.pdf,PDF with Reference to Variables (en)
instrument,soep-is,,,soep-is-2019,,https://www.diw.de/documents/publikationen/73/diw_01.c.844968.de/diw_ssp1141.pdf,PDF with Reference to Variables (de)
instrument,soep-is,,,soep-is-2018-arb,,https://www.diw.de/documents/publikationen/73/diw_01.c.821938.de/diw_ssp0951.pdf,PDF with Reference to Variables (de)
